Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
Location 86 - P2122 - Neighborhood Healthcare (MEM),86,86,1,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
Location 86 - CRF Esperanza Crisis Center,86,466,2,,,1.314570337452766,,,,0.503611136299907,,0.004378077692350
Location 86 - P1427 - The Fellowship Center,86,82,3,,,1.934221865608293,,,,0.555949934069969,,0.003848443552322
Location 86 - P1448 - Foundry Food Pantry,86,94,4,,,1.852606454704075,,,,0.721228439172578,,0.005773339876599
"Location 86 - Foundry Community Church, The (DB)",86,732,5,,,1.852606454704075,,,,0.721228439172578,,0.005773339876599
"Location 86 - Foundry Community Church, The (e-site)",86,797,6,,,1.852606454704075,,,,0.721228439172578,,0.005773339876599
Location 86 - P1446 - Villa Escondido (MEM),86,84,7,,,3.126281941643093,,,,1.134024866007721,,0.005963285954069
Location 86 - Park Avenue Community Center,86,623,8,,,5.188081966915503,,,,1.555235286411001,,0.013058266324538
Location 86 - P2226 - SP: Clothier Child Development Center,86,92,9,,,5.331157036899666,,,,1.557911849649194,,0.011554285212380
Location 86 - Escondido Community Child Development Center,86,497,10,,,5.331157036899666,,,,1.557911849649194,,0.011554285212380
Location 86 - P1547 - Hidden Glenn Senior Living,86,97,11,,,3.685645473433226,,,,1.565999009680988,,0.012132419590145
Location 86 - Hidden Glenn Senior Living,86,385,12,,,3.685645473433226,,,,1.565999009680988,,0.012132419590145
Location 86 - Central Elementary (Escondido Union),86,318,13,,,4.036853995987494,,,,1.639932273558873,,0.012386581341115
Location 86 - Farr Avenue Elementary (Escondido Union),86,319,14,,,5.802597799481886,,,,1.741219582615807,,0.011735611312581
Location 86 - Smart Food Foundation (Distribution),86,355,15,,,5.802597799481886,,,,1.741219582615807,,0.011735611312581
Location 86 - P1434 - AVID Behavioral Day Program,86,83,16,,,5.169008356958561,,,,2.011193758918786,,0.019320416839921
Location 86 - P1079 - Interfaith Community Services - Escondido,86,81,17,,,6.324411502110648,,,,2.076474128733748,,0.019944169646801
Location 86 - Ministerio Tiempo Nuevo,86,371,19,,,4.514816890642588,,,,2.236851740603747,,0.019992234828218
Location 86 - P2206 - BP: Orange Glen Elementary,86,91,20,,,7.081585831226214,,,,2.266246979743885,,0.017144916386028
Location 86 - Oak Hill Elementary School (Escondido Union),86,329,21,,,4.663150293426565,,,,2.471980075555924,,0.020150219681286
Location 86 - Project Manna,86,486,22,,,5.288506017134611,,,,2.552209041275556,,0.026087799802883
Location 86 - Advocate's Christian Ministries Incorporated,86,477,23,,,5.147754195998149,,,,2.631541503913869,,0.025875340334905
Location 86 - Apostolic Assembly Church,86,370,24,,,5.920381993222534,,,,2.689994225807417,,0.018222061689482
Location 86 - P2205 - BP: Conway Elementary,86,99,25,,,7.148972326554485,,,,2.911378432475862,,0.019634203715940
Location 86 - P2225 - SP: Boyce Child Development Center,86,87,26,,,6.301054434909419,,,,3.087219553454862,,0.024181919459862
Location 86 - New Hope Community Church,86,515,27,,,6.255871694576867,,,,3.167649167487746,,0.032449170974267
Location 86 - New Hope Community Church (DB),86,706,28,,,6.255871694576867,,,,3.167649167487746,,0.032449170974267
Location 86 - Felicita Elementary (Escondido Union),86,311,29,,,6.496312495856007,,,,3.181042352309011,,0.024852526953438
Location 86 - P1441 - SP: Escondido High School,86,90,30,,,8.490859119065997,,,,3.182782939388846,,0.024170352911535
Location 86 - P2045 - Ruth Anointed World Ministries,86,98,31,,,7.673442966409940,,,,3.354144609285824,,0.026536944991321
Location 86 - P2244 - PP: Escondido,86,88,32,,,7.060382621395776,,,,3.375309362568403,,0.023127288054086
Location 86 - P1082 - Salvation Army Escondido,86,89,33,,,9.009806973422881,,,,3.420448847681150,,0.023888372814474
"Location 86 - YMCA of San Diego County, Youth and Family Services",86,596,34,,,9.667008001955667,,,,3.557127282577237,,0.025293463320741
Location 86 - R.A.W. Ministries,86,455,35,,,7.203243696449344,,,,3.563725124228109,,0.027316123516850
Location 86 - Windsor Gardens Apartments,86,625,36,,,8.676787740790640,,,,3.787053958968825,,0.037131424508043
Location 86 - Foundation Matthew 633,86,507,37,,,9.301720590069513,,,,4.024014147536996,,0.030174287773136
"Location 86 - Foundation Matthew 633, Inc. (DB)",86,701,38,,,9.301720590069513,,,,4.024014147536996,,0.030174287773136
Location 86 - P1502 - SP: Orange Glen High School,86,95,39,,,8.885216349105185,,,,4.110486799407841,,0.033458557751071
Location 86 - P2349 - San Diego Christian Center (The Center),86,93,40,,,11.642862682353890,,,,4.700712603013361,,0.035481722163024
Location 86 - San Diego Christian Center (Super Pantry),86,487,41,,,11.642862682353890,,,,4.700712603013361,,0.035481722163024
Location 86 - P2079 - SP: San Pasqual High,86,85,42,,,8.940059815174175,,,,4.943072368731114,,0.043896485539321
Location 86 - P1531 - SP: Valley High,86,96,43,,,10.988294046177927,,,,5.895564254500827,,0.050022471442024
Location 86 - Valley High School (Escondido Union),86,807,44,,,10.988294046177927,,,,5.895564254500827,,0.050022471442024
Location 86 - Provision Relief Team,86,460,45,,,15.036284381976921,,,,7.246418086504645,,0.067939315736743
Location 86 - Grace Church San Marcos,86,585,46,,,15.036284381976921,,,,7.246418086504645,,0.067939315736743
Location 86 - P1543 - San Marcos Seventh Day Adventist,86,167,47,,,16.270280239373356,,,,7.773915513464426,,0.066147073630313
Location 86 - Shaback,86,412,48,,,11.896024229920245,,,,7.785081581250468,,0.060069027298626
Location 86 - P1429 - Summit Church,86,140,49,,,17.722145433605753,,,,9.254061392332417,,0.087103538322301
Location 86 - P1438 - TrueCare San Marcos (MEM),86,141,50,,,19.491824641300486,,,,9.262371020286444,,0.085960422638678
Location 86 - TrueCare WIC Program (DB),86,713,51,,,19.491824641300486,,,,9.262371020286444,,0.085960422638678
Location 86 - University of St. Katherine,86,568,52,,,18.904684763384793,,,,9.495227846235780,,0.089816125518797
Location 86 - RESPECT Program (North County Lifeline),86,560,53,,,18.861287325270080,,,,9.866175306349543,,0.091568586853638
Location 86 - San Marcos Senior Activity Center,86,634,54,,,20.818866406832061,,,,10.271314252040080,,0.092713870954979
Location 86 - P1236 - SP: San Marcos Elementary,86,138,55,,,22.090670684845030,,,,10.444918051732255,,0.097659408095097
Location 86 - San Marcos Elementary (San Marcos Unified),86,291,56,,,22.097874731603561,,,,10.446118726192010,,0.097673267925833
Location 86 - P1499 - ASI of CSUSM (CalState San Marcos) (MEM),86,166,57,,,22.417946466210658,,,,11.027241152783139,,0.093904192693899
"Location 86 - Associated Students, Inc.of CSU San Marcos",86,499,58,,,22.417946466210658,,,,11.027241152783139,,0.093904192693899
"Location 86 - Associated Students, Incorporate of CSU San Marcos (DB)",86,698,59,,,22.417946466210658,,,,11.027241152783139,,0.093904192693899
"Location 86 - Church at Rancho Bernardo, the",86,652,73,,,16.102191324121254,,,,13.467963199115406,,0.109022548380385
Location 86 - Buckheart Ranch,86,411,76,,,20.319532035828548,,,,14.741628450291868,,0.122902133028192
Location 86 - Camp Cookie Children's Foundation,86,478,77,,,20.958106371798262,,,,15.213212781787147,,0.125163775234402
Location 86 - Los Arcos Apartments,86,653,80,,,20.114755867748038,,,,16.025212206187376,,0.130224650752352
Location 86 - P2329 - MP: Valley Center,86,150,81,,,20.559917487421885,,,,16.357335882475677,,0.123983841614934
Location 86 - P2330 - PP: Valley Center,86,151,82,,,20.559917487421885,,,,16.357335882475677,,0.123983841614934
Location 86 - Fairbanks Terrace,86,660,89,,,22.917235785544857,,,,17.239473508972679,,0.122546575762717
Location 86 - Gathering Place Church. The,86,418,90,,,17.758638496696221,,,,18.083515792225000,,0.151478994190295
