Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
Location 94 - P1499 - ASI of CSUSM (CalState San Marcos) (MEM),94,166,57,,,23.145999242869234,,,,11.712931872229154,,0.099587982745004
"Location 94 - Associated Students, Inc.of CSU San Marcos",94,499,58,,,23.145999242869234,,,,11.712931872229154,,0.099587982745004
"Location 94 - Associated Students, Incorporate of CSU San Marcos (DB)",94,698,59,,,23.145999242869234,,,,11.712931872229154,,0.099587982745004
"Location 94 - Church at Rancho Bernardo, the",94,652,68,,,16.500198424040811,,,,13.619205615655719,,0.108535357402935
Location 94 - Buckheart Ranch,94,411,71,,,18.290533979561975,,,,14.020407640513822,,0.117383189341369
Location 94 - Camp Cookie Children's Foundation,94,478,75,,,20.434134482225446,,,,15.044680323488246,,0.120553013048492
Location 94 - Los Arcos Apartments,94,653,78,,,20.512762967667598,,,,16.176454622727690,,0.128770658602016
Location 94 - P2329 - MP: Valley Center,94,150,79,,,20.035945597849071,,,,16.188803424176776,,0.122779143659254
Location 94 - P2330 - PP: Valley Center,94,151,80,,,20.035945597849071,,,,16.188803424176776,,0.122779143659254
Location 94 - Fairbanks Terrace,94,660,84,,,23.315242885464414,,,,17.390715925512993,,0.124289195978742
Location 94 - Gathering Place Church. The,94,418,90,,,18.156645596615775,,,,18.234758208765314,,0.151449955877675
Location 94 - Los Penasquitos Elementary (Poway Unified),94,320,91,,,19.117156341114033,,,,18.951310973587198,,0.160620705113454
Location 94 - P1053 - SVdP St. Stephens,94,149,93,,,20.970782539690440,,,,20.043646253770554,,0.154899426475401
Location 94 - St. Stephen's (Valley Center),94,538,94,,,20.970782539690440,,,,20.043646253770554,,0.154899426475401
Location 94 - Serving & Sharing Foundation Incorporated (mass),94,796,95,,,20.970782539690440,,,,20.043646253770554,,0.154899426475401
Location 94 - P1303 - Our Lady of Mt Carmel Church,94,253,96,,,20.498998542070652,,,,20.063073768577816,,0.167269795790985
Location 94 - Smart Food Foundation,94,461,97,,,25.043678309210783,,,,20.106854781086362,,0.141733776278000
Location 94 - Mesa View Baptist Church,94,646,103,,,25.993025141241979,,,,20.662203926790269,,0.169008350848383
Location 94 - Mesa View Baptist Church (e-site),94,746,104,,,25.993025141241979,,,,20.662203926790269,,0.169008350848383
Location 94 - Pomerado Elementary (Poway Unified),94,322,105,,,27.775026067833902,,,,20.939825855782633,,0.169126970203244
Location 94 - St. Gabriel's Catholic Church,94,440,107,,,26.667360756497189,,,,21.025994070403080,,0.152671677544680
Location 94 - St. Gabriel's Catholic Church (DB),94,684,108,,,26.667360756497189,,,,21.025994070403080,,0.152671677544680
Location 94 - YIT (Youth in Transition Center),94,278,109,,,26.796079763215324,,,,21.072839401708102,,0.152405603745754
Location 94 - Midland Elementary (Poway Unified),94,321,112,,,28.184051650932986,,,,21.625323336691800,,0.164395416669045
Location 94 - P1426 - The Community Food Connection,94,130,117,,,27.476204221039424,,,,21.760575421992712,,0.154730351793029
Location 94 - Community Food Connection (e-site),94,767,118,,,27.476204221039424,,,,21.760575421992712,,0.154730351793029
Location 94 - Park Church Poway,94,586,120,,,28.523830929019681,,,,21.920671194185253,,0.167013915445152
Location 94 - P2282 - PP: Rancho Peñasquitos,94,254,130,,,24.079841028563383,,,,22.460470928692125,,0.178963084677067
Location 94 - Poway Villas Apartments,94,650,133,,,31.642808449207635,,,,22.809793985962489,,0.175368929702918
Location 94 - Valley Elementary (Poway Unified),94,323,134,,,31.992233438742026,,,,22.834082426425752,,0.175356226482772
Location 94 - North City Church (Distribution),94,357,139,,,29.967959776856723,,,,23.290850735497859,,0.180687735145824
Location 94 - North City Church,94,484,140,,,29.967959776856723,,,,23.290850735497859,,0.180687735145824
Location 94 - Light of the World Christian Church,94,578,148,,,30.986689415142312,,,,23.902488420570371,,0.175838686970992
Location 94 - P1553 - Mountain View Community Church Ramona,94,135,152,,,21.931636209096546,,,,24.778802541788707,,0.203813867897870
Location 94 - Ramona Grange 632,94,600,159,,,23.436504806183752,,,,26.298065078225505,,0.217530410361853
Location 94 - P1073 - Ramona Food & Clothes Closet,94,133,160,,,24.148006850451409,,,,26.526312033529472,,0.217530704576734
Location 94 - Ramona Food & Clothes Closet Incorporated (e-site),94,761,161,,,24.148006850451409,,,,26.526312033529472,,0.217530704576734
Location 94 - P2331 - MP: Ramona,94,136,164,,,24.095711306176852,,,,26.699554466827415,,0.212001438771952
Location 94 - P1482 - First Congregational Church of Ramona,94,134,165,,,24.512147934469112,,,,26.724323848524705,,0.218536284205733
Location 94 - Calvary Chapel Ramona,94,444,166,,,25.728182718170263,,,,26.880312964554875,,0.208210050724454
Location 94 - Ramona Terrace Community,94,667,176,,,25.285042334243741,,,,27.177147773453576,,0.217616608004019
Location 94 - P1045 - In His Steps,94,132,177,,,28.473265381781477,,,,27.293254049065084,,0.206081761639080
Location 94 - P1542 - MP: Pauma,94,128,178,,,29.063269917430475,,,,27.343208008914885,,0.191762503242163
Location 94 - P2199 - PP: Pauma,94,129,179,,,29.063269917430475,,,,27.343208008914885,,0.191762503242163
Location 94 - North Coast Church (DB),94,715,199,,,31.886123200621526,,,,29.142704996640610,,0.198526944187495
Location 94 - North Coast Church (Distribution),94,361,200,,,31.928586455992971,,,,29.146243366443706,,0.198578288861757
Location 94 - P1043 - Restoration Ranch,94,131,201,,,28.007460733538327,,,,29.307448426622855,,0.178263333449255
Location 94 - Restoration Ranch,94,388,202,,,28.007460733538327,,,,29.307448426622855,,0.178263333449255
Location 94 - Fischer Family Community Outreach Foundation,94,529,203,,,33.382918314853640,,,,29.706381506578161,,0.233200798062644
Location 94 - P2203 - PP: Julian,94,144,647,,,48.780415846503530,,,,54.643954155598394,,0.420807446104042
Location 94 - P1368 - MP: Julian,94,142,648,,,48.782600444753577,,,,54.646285468564855,,0.420803123038462
Location 94 - P1644 - MP: Santa Ysabel,94,143,686,,,52.351205730170840,,,,57.877611994867429,,0.417077644636531
Location 94 - P1285 - Mt. Manna (UMC of Julian),94,102,697,,,52.054147392198054,,,,58.730373507005979,,0.449623758842668
Location 94 - Mt Manna,94,427,710,,,53.396685656551682,,,,60.252628456977575,,0.464900625701559
Location 94 - P1592 - BP: Julian Elementary School,94,104,724,,,57.227901974138248,,,,62.290309747114506,,0.474111222123721
Location 94 - P2257 - SP: Warner Elementary,94,164,743,,,56.059592664752770,,,,63.973697789479893,,0.413613298870240
Location 94 - Warner Springs Community Resource Center,94,644,744,,,56.059592664752770,,,,63.973697789479893,,0.413613298870240
Location 94 - Warner Springs Community Resource Center (mass),94,753,745,,,56.059592664752770,,,,63.973697789479893,,0.413613298870240
Location 94 - P2326 - MP: Ranchita,94,137,793,,,66.414817325046897,,,,78.958789727153317,,0.546627006637645
Location 94 - Shaback,94,342,794,,,66.611508270175250,,,,79.248954515465954,,0.549706480358211
Location 94 - Shaback (DB),94,678,795,,,74.764553719522979,,,,79.646674614207669,,0.623459713792576
Location 94 - P1445 - MP: Shelter Valley,94,103,796,,,74.864391509752068,,,,80.435349617337465,,0.629243933549829
Location 94 - P2204 - PP: Shelter Valley,94,106,797,,,74.864391509752068,,,,80.435349617337465,,0.629243933549829
Location 94 - Shelter Valley Citizens Corporation (mass),94,757,798,,,74.864391509752068,,,,80.435349617337465,,0.629243933549829
Location 94 - P2200 - PP: Butterfield,94,105,800,,,83.235383228608015,,,,91.968692873513589,,0.621173930739993
Location 94 - P2270 - MP: Butterfield,94,107,801,,,83.235383228608015,,,,91.968692873513589,,0.621173930739993
Location 94 - P1413 - SP: Borrego Springs HS,94,56,806,,,84.565715277127879,,,,99.635829766622678,,0.674161404948003
Location 94 - Borrego Springs Community Center,94,579,807,,,85.546202333881638,,,,101.003047171294881,,0.697628952787510
Location 94 - P1347 - MP: Borrego Springs,94,55,808,,,87.071174118955952,,,,101.631878748235863,,0.697260896292010
Location 94 - St. Barnabas Episcopal Church (mass),94,756,809,,,86.561736909145367,,,,101.839971034040943,,0.699710096580314
Location 94 - Borrego Springs Elementary (Borrego Springs Unified),94,313,811,,,88.628690439202558,,,,104.075708617235406,,0.729619939816226
Location 365 - SDFB at Campo Education Center (ZERO balances),365,365,1,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
Location 365 - Back Country Support,365,615,2,,,6.936180699802233,,,,8.457911370076488,,0.078386693557308
Location 365 - SDFB Mt. Empire (mass) (ZERO balances),365,799,3,,,6.936180699802233,,,,8.457911370076488,,0.078386693557308
Location 365 - P1363 - MP: Boulevard,365,3,4,,,7.201126918535941,,,,8.840484913336182,,0.082326067408501
