Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
Location 7 - P1302 - San Ysidro Health - Campo (MEM),7,5,1,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
Location 7 - P1364 - MP: Campo,7,6,2,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
Location 7 - P2158 - PP: Campo,7,7,3,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
"Location 7 - P1027 - San Diego Freedom Ranch, Inc.",7,4,4,,,5.219256577817212,,,,5.967679584819229,,0.045457564050515
Location 7 - Potrero Elementary (Mountain Empire),7,298,6,,,12.897333280068548,,,,15.758479686215608,,0.143594233491591
Location 7 - P1538 - MP: Potrero,7,47,7,,,13.254695248588483,,,,16.176043736018901,,0.143887534083787
Location 7 - Potrero Community Center Foundation (Neighborhood Dis),7,362,8,,,13.254695248588483,,,,16.176043736018901,,0.143887534083787
Location 7 - Potrero Community Center Foundation (mass),7,800,9,,,13.254695248588483,,,,16.176043736018901,,0.143887534083787
Location 7 - P1366 - MP: Guatay,7,25,15,,,25.092472137083597,,,,31.880432143232838,,0.255674711782825
Location 15 - P1080 - Life Acts/Life Christian Center,15,15,1,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
Location 15 - Victory Lutheran Church (Victory Resource Center),15,545,2,,,2.959288308229139,,,,0.679723431275135,,0.005127154668171
Location 15 - Victory Lutheran Church (DB),15,722,3,,,2.959288308229139,,,,0.679723431275135,,0.005127154668171
Location 15 - Civic Center Barrio Housing Corporation,15,567,4,,,3.039738973591876,,,,0.793432785669738,,0.006194526521335
Location 15 - Lilian J Rice Elementary (Chula Vista Elem District),15,340,5,,,3.856084107082114,,,,0.953745571104198,,0.006878419296679
Location 15 - MAAC Project,15,613,6,,,3.849130191339973,,,,1.126155232777182,,0.009251769940250
Location 15 - P1194 - Most Precious Blood Church,15,16,7,,,5.255316505052183,,,,1.178485067467812,,0.006911179289854
Location 15 - MAAC Project Chula Vista (mass),15,747,8,,,3.918357520053898,,,,1.186211939097118,,0.009804183386296
Location 15 - Calvin J. Lauderbach Elementary (Chula Vista Elem District),15,285,9,,,4.030195900936067,,,,1.249165258766660,,0.008277266206226
Location 15 - CRF Step Forward South,15,577,10,,,4.206175618788149,,,,1.422312754888791,,0.012680408902458
Location 15 - Oxford Terrace Apartments (mass),15,738,11,,,5.834161462726291,,,,1.505292385712888,,0.010845970665994
Location 15 - P2350 - BP: Palomar High School,15,22,12,,,5.498910586525872,,,,1.665184932665197,,0.010640631879275
Location 15 - Harborside Elementary School (Chula Vista Elem District),15,288,13,,,4.447943572281247,,,,1.728004552507542,,0.016778395188564
Location 15 - P1072 - Salvation Army Chula Vista,15,9,14,,,3.584179492002362,,,,1.737500544649969,,0.015947848553082
Location 15 - Chula Vista Silvercrest Apartments,15,645,15,,,3.726792744247963,,,,1.791772559970157,,0.016388325761897
Location 15 - P1630 - South Bay Food Pantry,15,18,16,,,5.717560141857560,,,,1.799561896689583,,0.013910557669409
Location 15 - First Unitarian Universalist Church (DB) South Bay FP,15,719,17,,,5.717560141857560,,,,1.799561896689583,,0.013910557669409
Location 15 - First Unitarian Universalist Church,15,541,18,,,6.369860723670701,,,,1.874940563906217,,0.014400811196059
Location 15 - P2075 - SP: Castle Park Middle,15,19,19,,,6.438819957727600,,,,1.952653189198943,,0.013822164821300
Location 15 - Seniors On Broadway,15,648,20,,,7.478750298989507,,,,2.148348867988845,,0.016168724072434
Location 15 - John Montgomery Elementary (Chula Vista Elem District),15,294,21,,,4.713826422083115,,,,2.217723482261647,,0.016479985244513
Location 15 - P2195 - BP: Hazel Cook Elementary,15,20,22,,,4.473869927983539,,,,2.410224288365815,,0.017538223550962
Location 15 - P1069 - St. Rose of Lima,15,8,23,,,6.018202745034976,,,,2.550043908550037,,0.022710256930220
Location 15 - P2241 - SP: Hilltop Child Development Center,15,13,24,,,6.121723612453687,,,,2.593625588905050,,0.017386945112093
Location 15 - Otay Elementary (Chula Vista Elem District),15,332,25,,,6.521123605765784,,,,2.762685183564583,,0.021309629280329
Location 15 - P2073 - Operation Promise Community Services,15,45,26,,,6.227061133734465,,,,2.991041281631697,,0.025605770667636
Location 15 - St. Mark's Lutheran Church,15,610,27,,,8.020981151139184,,,,3.193403952175796,,0.021413655631692
Location 15 - Lutheran Soc Services of So Cal - Project Hand (mass),15,739,28,,,8.020981151139184,,,,3.193403952175796,,0.021413655631692
Location 15 - Lutheran Soc Services of So Cal - Project Hand (e-site),15,745,29,,,8.020981151139184,,,,3.193403952175796,,0.021413655631692
Location 15 - Sunrise Church of Christ,15,396,30,,,7.153690234845028,,,,3.213678299646146,,0.028735029869656
Location 15 - P2268 - SP: Loma Verde Elementary,15,21,31,,,7.194781216125443,,,,3.227850766903966,,0.024352890440105
Location 15 - Iglesia Palabra Viva,15,429,32,,,11.634056986920010,,,,3.351466346069090,,0.024686454234609
Location 15 - Palomar Elementary (Chula Vista Elem District),15,265,33,,,9.457894037826161,,,,3.371285338944057,,0.027301923854126
Location 15 - P1476 - SP: SIATECH South Bay,15,17,35,,,8.714182742563965,,,,3.418918669771691,,0.023891973760076
Location 15 - Vista Square Elementary (Chula Vista Elem District),15,299,36,,,8.727447273374381,,,,3.713255573792690,,0.028083311803872
Location 15 - Berean Bible Baptist Church,15,424,37,,,8.840020108682204,,,,3.752517940866717,,0.029222686864189
Location 15 - New Gateway Solutions Corporation,15,464,40,,,9.325820478075721,,,,4.141502440993674,,0.037953546672744
Location 15 - P1083 - Templo Evangelico Maranatha,15,10,41,,,11.743893326153350,,,,4.264953429668169,,0.034229567876563
Location 15 - South Bay Pentecostal,15,345,43,,,12.141925827884760,,,,4.297043186889031,,0.036959964349051
Location 15 - Urban Refuge (DB),15,685,44,,,9.948835442417506,,,,4.465785113359547,,0.038347525744821
Location 15 - Fred H Rohr Elementary (Chula Vista Elem District),15,267,45,,,8.920808578378681,,,,4.611299054300084,,0.031133413833557
Location 15 - Feeding the Flock (Love Thy Neighbor),15,474,46,,,10.917936598308046,,,,4.856532988986745,,0.041354051495730
Location 15 - P2345 - BP: Howard Gardner Community School,15,14,47,,,13.584708952176355,,,,4.943664291779291,,0.037318509948244
Location 15 - Villa Serena Apartments,15,642,48,,,10.635231139114373,,,,4.978796682136367,,0.045459428809802
Location 15 - Feaster Elementary School (Chula Vista Elem District),15,331,51,,,14.743315568694914,,,,5.279735715306883,,0.039617340638293
Location 15 - Us for Warriors Foundation (mil/vet)(mobile pantry),15,368,54,,,12.159434888606683,,,,5.891849423063978,,0.053319781108779
Location 15 - P1202 - San Diego Filipino Am. SDA Church,15,11,67,,,11.017035065300089,,,,6.677430178493978,,0.043171426054453
Location 15 - Harvest Ridge Apartments,15,632,87,,,14.896774373328347,,,,7.925795523973739,,0.074022147831154
Location 15 - P1536 - Southwestern College (MEM),15,12,102,,,16.510806611297781,,,,8.981700664335788,,0.078894199340633
Location 15 - Southwestern College,15,363,103,,,16.510806611297781,,,,8.981700664335788,,0.078894199340633
Location 15 - Southwestern Community College District,15,471,104,,,16.510806611297781,,,,8.981700664335788,,0.078894199340633
Location 15 - Southwestern Community College District (DB),15,690,105,,,16.510806611297781,,,,8.981700664335788,,0.078894199340633
Location 15 - P2103 - Rock Church- Chula Vista,15,23,136,,,19.867730672333504,,,,11.660057496121301,,0.101630498337396
Location 77 - P2312 - Floodwaters AAA,77,77,1,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
Location 77 - Chaldean Evangelical Church,77,593,2,,,2.289088853048877,,,,1.051608508547263,,0.010021944187233
Location 77 - P2081 - Holy Trinity Church,77,65,3,,,3.548089825291073,,,,1.232792019126742,,0.005880221096611
Location 77 - P1392 - SP: Lexington Elementary,77,62,4,,,3.694936830499611,,,,1.291944726772703,,0.006484156046254
Location 77 - P1450 - Meridian Baptist Church,77,63,5,,,3.081329969444459,,,,1.405194083245989,,0.011952264242631
Location 77 - Prime Time Title 1 C.D.C./Meridian Baptist Church,77,408,6,,,3.081329969444459,,,,1.405194083245989,,0.011952264242631
Location 77 - Meridian Baptist Church,77,638,7,,,3.081329969444459,,,,1.405194083245989,,0.011952264242631
Location 77 - P1052 - East County Trans. Living Ctr,77,72,8,,,3.302097897144194,,,,1.479293646108227,,0.014308123002339
Location 77 - Jesus Cares Ministry (DB),77,689,9,,,3.196007477173891,,,,1.483987071064121,,0.014409152939347
Location 77 - P1076 - Salvation Army El Cajon,77,73,10,,,3.870279281707772,,,,1.555283544163856,,0.010477077876846
Location 77 - Salvation Army El Cajon (DB),77,692,11,,,3.870279281707772,,,,1.555283544163856,,0.010477077876846
Location 77 - Salvation Army El Cajon (mass) (Super Pantry),77,755,12,,,3.870279281707772,,,,1.555283544163856,,0.010477077876846
Location 77 - Salvation Army Back Country (mass),77,782,13,,,3.870279281707772,,,,1.555283544163856,,0.010477077876846
Location 77 - P1097 - El Cajon Seventh Day Adventist (SDA),77,61,14,,,3.194719025035300,,,,1.667951531769897,,0.016087810359970
Location 77 - El Cajon Seventh Day Adventist Church,77,353,15,,,3.194719025035300,,,,1.667951531769897,,0.016087810359970
Location 77 - El Cajon Seventh Day Adventist Church,77,456,16,,,3.194719025035300,,,,1.667951531769897,,0.016087810359970
Location 77 - P2037 - SP: El Cajon Valley High,77,76,17,,,5.013908683001461,,,,1.751724790439643,,0.011932154759475
Location 77 - El Cajon New Season's Church,77,631,18,,,6.739549623713104,,,,2.270887464658665,,0.014950337452630
Location 77 - P1105 - CRF Halcyon Center,77,74,19,,,4.405935295693062,,,,2.316016940597474,,0.022209149140613
Location 77 - CRF Halcyon Crisis Center,77,395,20,,,4.405935295693062,,,,2.316016940597474,,0.022209149140613
Location 77 - Dayspring Christian Learning Center,77,438,21,,,6.873104816743072,,,,2.730827912888865,,0.019204333842447
Location 77 - St. Alban's Church,77,476,22,,,7.350924690605482,,,,3.048759917735433,,0.024179794966087
Location 77 - Welcome House,77,576,23,,,6.857321765649907,,,,3.068670868143493,,0.021838844350570
Location 77 - Afghan Community Culture Center,77,591,24,,,7.307400387454840,,,,3.106979699921274,,0.026685244300499
Location 77 - Magnolia Adult Day Care Center,77,639,25,,,8.180896534227369,,,,3.171395528892702,,0.026226696132717
Location 77 - P2240 - Shadow Mountain Cares,77,66,26,,,5.892176447036251,,,,3.267328749745743,,0.032644815906955
Location 77 - P1410 - San Ysidro Health: MCHC (MEM),77,68,27,,,11.300573274664355,,,,4.153052628245121,,0.025790173337010
Location 77 - P1518 - Bethlehem Food Pantry,77,69,28,,,10.801063367921529,,,,4.378152594139173,,0.035244620463352
Location 77 - Bethlehem Food Pantry (DB) (Good Shepherd Ministry),77,693,29,,,10.801063367921529,,,,4.378152594139173,,0.035244620463352
Location 77 - It's All About the Kids Foundation,77,500,30,,,12.183050699538409,,,,4.392497041446661,,0.036790260616757
Location 77 - P2041 - Rock Church- El Cajon,77,70,31,,,11.968931830183722,,,,4.813485353994158,,0.038233245517308
Location 77 - Rock Church East County,77,547,32,,,11.968931830183722,,,,4.813485353994158,,0.038233245517308
Location 77 - Rock Church East County (DB),77,724,33,,,11.968931830183722,,,,4.813485353994158,,0.038233245517308
"Location 77 - P1040 - McAlister, Inc.",77,67,34,,,12.916818254505067,,,,5.418650467909727,,0.039320573298122
Location 77 - Freedom in Christ Fellowship,77,416,35,,,8.873721926235552,,,,5.749198080204024,,0.054174987786083
Location 77 - P1560 - Cuyamaca College (MEM),77,64,36,,,10.035077736167548,,,,6.615667079816149,,0.048833055325909
Location 77 - Foundation for Grossmont and Cuyamaca Colleges; Cuyamaca,77,502,37,,,10.035077736167548,,,,6.615667079816149,,0.048833055325909
Location 77 - P1124 - Lakeside Christian Helps Ctr,77,110,38,,,11.982348772469125,,,,7.137903634514300,,0.061731558136111
Location 77 - P2119 - MP: Lakeside,77,111,39,,,10.540805819372377,,,,7.500083073243987,,0.057738417876733
Location 77 - Lakeside Christian Helps Center (e-site),77,760,40,,,13.904188307904281,,,,7.742121110584819,,0.064617568039962
Location 77 - Lakeside Gardens Inc,77,617,41,,,14.771111597045573,,,,7.905600114021226,,0.064161461864408
Location 77 - P1155 - Emmanuel Family Homes Inc.,77,32,42,,,15.991390198451089,,,,7.954028792794256,,0.048375939272017
Location 77 - Laurel Park Apartments,77,628,43,,,13.677498904599195,,,,8.053692719702916,,0.056658604237620
Location 77 - MAAC Project Villa Lakeshore Apartments (mass),77,759,44,,,15.200025433850863,,,,8.437611645376556,,0.067627520175641
Location 77 - P2245 - PP: El Cajon,77,71,52,,,20.029991635252106,,,,10.002529652358263,,0.071930756900689
Location 77 - Foundation of ... Grossmont College (mobile pantry),77,356,53,,,20.029991635252106,,,,10.002529652358263,,0.071930756900689
"Location 77 - Santee Food Bank, The (mass) (Super Pantry)",77,752,64,,,24.655030700219115,,,,11.339973699338358,,0.081595974368912
Location 77 - P1154 - Santee Food Bank,77,145,65,,,19.665610132551418,,,,11.483850854155406,,0.082986681364603
Location 77 - Guardian Angels Catholic Church,77,468,78,,,22.560054424303392,,,,12.538019950121733,,0.092584389567955
Location 77 - Jamul Elementary,77,330,102,,,17.389966716559030,,,,14.482259036201542,,0.104558623844188
Location 77 - SDFB at Jamul Casino (ZERO balances),77,364,106,,,19.456866152624404,,,,14.845612422390179,,0.112346796332804
Location 77 - P1238 - Jamul Community Church,77,31,119,,,18.725901029934157,,,,15.851013159630799,,0.116090606848808
