Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
Location 22 - P2350 - BP: Palomar High School,22,22,1,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
Location 22 - Calvin J. Lauderbach Elementary (Chula Vista Elem District),22,285,2,,,0.965031146623277,,,,0.493639945796018,,0.005186925981407
Location 22 - P1194 - Most Precious Blood Church,22,16,3,,,1.602407598286512,,,,0.610346668514865,,0.003944635107410
Location 22 - Oxford Terrace Apartments (mass),22,738,4,,,1.140474936553999,,,,0.650074494063316,,0.004626834169396
Location 22 - MAAC Project,22,613,5,,,1.913808069331439,,,,0.845344834631832,,0.007915023676487
Location 22 - MAAC Project Chula Vista (mass),22,747,6,,,1.983035398045365,,,,0.905401540951768,,0.008066020419996
Location 22 - Civic Center Barrio Housing Corporation,22,567,7,,,2.059267458664112,,,,0.949372418892941,,0.007648248975546
Location 22 - Victory Lutheran Church (Victory Resource Center),22,545,8,,,2.267374389345605,,,,1.073248512866113,,0.007882046925236
Location 22 - Victory Lutheran Church (DB),22,722,9,,,2.267374389345605,,,,1.073248512866113,,0.007882046925236
Location 22 - John Montgomery Elementary (Chula Vista Elem District),22,294,10,,,2.048634105090874,,,,1.205008819880966,,0.008352096329155
Location 22 - CRF Step Forward South,22,577,11,,,3.421501070550158,,,,1.251562178913048,,0.009128562917422
Location 22 - P1080 - Life Acts/Life Christian Center,22,15,12,,,3.339350640907736,,,,1.632527309374181,,0.010640631879275
Location 22 - Harborside Elementary School (Chula Vista Elem District),22,288,13,,,4.906616192012006,,,,1.645709176727111,,0.012236319672218
Location 22 - P2075 - SP: Castle Park Middle,22,19,14,,,4.503497835719067,,,,1.671842791053593,,0.014440910449696
Location 22 - Project 1:1,22,431,15,,,4.355755914453889,,,,1.732205247050315,,0.011589743436328
Location 22 - Lilian J Rice Elementary (Chula Vista Elem District),22,340,16,,,2.620197676503369,,,,1.771917749543830,,0.013262819669820
Location 22 - P1630 - South Bay Food Pantry,22,18,17,,,4.724084324088319,,,,1.957951030186496,,0.013785322048555
Location 22 - First Unitarian Universalist Church (DB) South Bay FP,22,719,18,,,4.724084324088319,,,,1.957951030186496,,0.013785322048555
Location 22 - First Unitarian Universalist Church,22,541,19,,,5.376384905901460,,,,2.033329697403130,,0.014022834186301
Location 22 - P1476 - SP: SIATECH South Bay,22,17,20,,,6.384830459950972,,,,2.084197146530323,,0.018519319807814
Location 22 - Seniors On Broadway,22,648,21,,,5.446664684955699,,,,2.315740687032633,,0.018113998727532
Location 22 - Otay Elementary (Chula Vista Elem District),22,332,22,,,4.190894329221262,,,,2.331625304218061,,0.017865421800740
Location 22 - Life Christian Center (Life Acts),22,470,23,,,8.879834370238642,,,,2.385885792043088,,0.016093413571269
Location 22 - Us for Warriors Foundation (US4 Warriors) (mil/vet),22,504,24,,,7.630196021914660,,,,2.655987794765481,,0.018319765570942
Location 22 - P2268 - SP: Loma Verde Elementary,22,21,25,,,4.864551939580921,,,,2.796790887557444,,0.025163601411606
Location 22 - Palomar Elementary (Chula Vista Elem District),22,265,26,,,5.476550509105287,,,,3.159623958132691,,0.033074817571587
Location 22 - P1072 - Salvation Army Chula Vista,22,9,27,,,5.900478120017368,,,,3.352917748724366,,0.024500348920396
Location 22 - Chula Vista Silvercrest Apartments,22,645,28,,,6.043091372262969,,,,3.407189764044554,,0.024919269082833
